name,kind,purpose,source_sensor_id,material_id,color_hint,tag_shape,center_x_m,center_y_m,center_z_m,tag_radius_m,tag_z_min_m,tag_z_max_m,tagged_node_count,minimum_tagged_x_m,maximum_tagged_x_m,minimum_tagged_y_m,maximum_tagged_y_m,minimum_tagged_z_m,maximum_tagged_z_m
injection_borehole,injection_borehole,Injection borehole terminating on the HEC top,,6,grey,vertical_cylinder,5000.0000000000,5000.0000000000,638.7500000000,0.2500000000,527.5000000000,750.0000000000,4,5000.0000000000,5000.0000000000,5000.0000000000,5000.0000000000,530.0000000000,750.0000000000
AVN2,strainmeter_sensor,Shallow coupled strainmeter,AVN2,7,green,sphere,5160.0000000000,5185.0000000000,30.0000000000,0.2500000000,,,1,5160.0000000000,5160.0000000000,5185.0000000000,5185.0000000000,30.0000000000,30.0000000000
AVN87,strainmeter_sensor,Shallow coupled strainmeter,AVN87,8,green,sphere,5460.0000000000,5185.0000000000,30.0000000000,0.2500000000,,,1,5460.0000000000,5460.0000000000,5185.0000000000,5185.0000000000,30.0000000000,30.0000000000
AVN31,strainmeter_sensor,Deep strainmeter near HEC,AVN31,9,green,sphere,5350.0000000000,4720.0000000000,520.0000000000,0.2500000000,,,1,5350.0000000000,5350.0000000000,4720.0000000000,4720.0000000000,520.0000000000,520.0000000000
