sensor_id,purpose,x_m,y_m,z_m,material_id,radius_m,hec_local_u_m,hec_local_v_m
AVN2,Shallow coupled strainmeter,5160.0000000000,5185.0000000000,-720.0000000000,7,0.2500000000,198.2409379866,143.2673392864
AVN87,Shallow coupled strainmeter,5460.0000000000,5185.0000000000,-720.0000000000,8,0.2500000000,224.3876608109,442.1257487139
AVN31,Deep strainmeter near HEC,5350.0000000000,4720.0000000000,-230.0000000000,9,0.2500000000,-248.4300055040,373.0717523015
