z_m,xy_spacing_m,x_half_extent_m,y_half_extent_m,stagger_m
-625.000000,40.000000,450.000000,450.000000,20.000000
-600.000000,40.000000,450.000000,450.000000,20.000000
-575.000000,40.000000,450.000000,450.000000,20.000000
-550.000000,40.000000,450.000000,450.000000,20.000000
-540.000000,40.000000,450.000000,450.000000,20.000000
-532.500000,40.000000,450.000000,450.000000,20.000000
-527.500000,40.000000,450.000000,450.000000,20.000000
-522.500000,40.000000,450.000000,450.000000,20.000000
-515.000000,40.000000,450.000000,450.000000,20.000000
