name,kind,material_id,color_hint,center_x_m,center_y_m,radius_m,bottom_z_m,tag_top_z_m,lattice_bottom_z_m,lattice_top_z_m,vertical_step_m,hec_local_u_m,hec_local_v_m,terminates_on_hec_top,is_outside_hec_footprint,local_lattice_points
injection_borehole,injection,6,grey,5000.0000000000,5000.0000000000,5.0000000000,532.5000000000,750.0000000000,532.5000000000,749.0000000000,2.0000000000,0.0000000000,0.0000000000,True,False,131120
strainmeter_1,strainmeter,7,green,6551.5529142742,6671.1324167184,2.0000000000,650.0000000000,750.0000000000,651.0000000000,749.0000000000,2.0000000000,1800.0000000000,1400.0000000000,False,True,45300
strainmeter_2,strainmeter,8,green,3762.2077596173,6915.1684964119,2.0000000000,650.0000000000,750.0000000000,651.0000000000,749.0000000000,2.0000000000,1800.0000000000,-1400.0000000000,False,True,45300
strainmeter_3,strainmeter,9,green,6237.7922403827,3084.8315035881,2.0000000000,650.0000000000,750.0000000000,651.0000000000,749.0000000000,2.0000000000,-1800.0000000000,1400.0000000000,False,True,45300
strainmeter_4,strainmeter,10,green,3448.4470857258,3328.8675832816,2.0000000000,650.0000000000,750.0000000000,651.0000000000,749.0000000000,2.0000000000,-1800.0000000000,-1400.0000000000,False,True,45300
